Airport,Community,Airport Name,City,Country,Latitude,Longitude
ILI,18,Iliamna Airport,Iliamna,United States,59.75439835,-154.9109955
PTU,18,Platinum Airport,Port Moller,United States,59.01139831542969,-161.82000732421875
FSM,3,Fort Smith Regional Airport,Fort Smith,United States,35.33660125732422,-94.36740112304688
GFK,3,Grand Forks International Airport,Grand Forks,United States,47.949299,-97.176102
HNM,3,Hana Airport,Hana,United States,20.79560089111328,-156.01400756835938
PRC,3,Ernest A. Love Field,Prescott,United States,34.65449905,-112.4199982
TTN,3,Trenton Mercer Airport,Trenton,United States,40.27669906616211,-74.8134994506836
BOS,3,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325
OAK,3,Metropolitan Oakland International Airport,Oakland,United States,37.721298,-122.221001
OMA,3,Eppley Airfield,Omaha,United States,41.3032,-95.894096
OGG,3,Kahului Airport,Kahului,United States,20.8986,-156.429993
ICT,3,Wichita Eisenhower National Airport,Wichita,United States,37.649899,-97.433098
MCI,3,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898
MSN,3,Dane County Regional Truax Field,Madison,United States,43.13990020751953,-89.3375015258789
DLG,18,Dillingham Airport,Dillingham,United States,59.04470062,-158.5050049
HRO,3,Boone County Airport,Harrison,United States,36.26150131225586,-93.15470123291016
PHX,3,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429946899414,-112.01200103759766
BGR,3,Bangor International Airport,Bangor,United States,44.80739974975586,-68.8281021118164
GGG,3,East Texas Regional Airport,Longview,United States,32.38399887084961,-94.71150207519533
GEG,3,Spokane International Airport,Spokane,United States,47.61989974975586,-117.53399658203124
SFO,3,San Francisco International Airport,San Francisco,United States,37.61899948120117,-122.375
GNV,3,Gainesville Regional Airport,Gainesville,United States,29.6900997162,-82.2717971802
MEM,3,Memphis International Airport,Memphis,United States,35.04240036010742,-89.97669982910156
LAX,3,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971
CLE,3,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099
CVG,3,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,39.0488014221,-84.6678009033
HON,3,Huron Regional Airport,Huron,United States,44.38520050048828,-98.22850036621094
JNU,18,Juneau International Airport,Juneau,United States,58.35499954223633,-134.5760040283203
LFT,3,Lafayette Regional Airport,Lafayette,United States,30.20529938,-91.98760223
EWR,3,Newark Liberty International Airport,Newark,United States,40.692501068115234,-74.168701171875
BOI,3,Boise Air Terminal/Gowen Field,Boise,United States,43.5644,-116.223
GCK,3,Garden City Regional Airport,Garden City,United States,37.9275016785,-100.723999023
MOT,3,Minot International Airport,Minot,United States,48.2593994140625,-101.27999877929688
DAL,3,Dallas Love Field,Dallas,United States,32.847099,-96.851799
HLN,3,Helena Regional Airport,Helena,United States,46.6068000793457,-111.98300170898438
LCH,3,Lake Charles Regional Airport,Lake Charles,United States,30.126100540161133,-93.22329711914062
KOA,3,Ellison Onizuka Kona International At Keahole Airport,Kona,United States,19.738783,-156.045603
MYR,3,Myrtle Beach International Airport,Myrtle Beach,United States,33.6796989441,-78.9282989502
ACK,3,Nantucket Memorial Airport,Nantucket,United States,41.25310135,-70.06020355
DCA,3,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697
ACY,3,Atlantic City International Airport,Atlantic City,United States,39.45759963989258,-74.57720184326172
PUB,3,Pueblo Memorial Airport,Pueblo,United States,38.289100646972656,-104.49700164794922
PQI,3,Northern Maine Regional Airport at Presque Isle,Presque Isle,United States,46.68899918,-68.0447998
ADQ,18,Kodiak Airport,Kodiak,United States,57.75,-152.4940033
FLL,3,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599,-80.152702
INL,3,Falls International Airport,International Falls,United States,48.566200256347656,-93.4030990600586
SLC,3,Salt Lake City International Airport,Salt Lake City,United States,40.78839874267578,-111.97799682617188
MDT,3,Harrisburg International Airport,Harrisburg,United States,40.1935005188,-76.7633972168
LNK,3,Lincoln Airport,Lincoln,United States,40.85100173950195,-96.75920104980467
LAN,3,Capital City Airport,Lansing,United States,42.77870178222656,-84.58740234375
MUE,3,Waimea Kohala Airport,Kamuela,United States,20.00130081176757,-155.66799926757812
MSS,3,Massena International Richards Field,Massena,United States,44.93579864501953,-74.84559631347656
IAH,3,George Bush Intercontinental Houston Airport,Houston,United States,29.984399795532227,-95.34140014648438
BFL,3,Meadows Field,Bakersfield,United States,35.43360138,-119.0569992
ELP,3,El Paso International Airport,El Paso,United States,31.80719948,-106.3779984
HRL,3,Valley International Airport,Harlingen,United States,26.228500366210938,-97.65440368652344
CAE,3,Columbia Metropolitan Airport,Columbia,United States,33.93880081176758,-81.11949920654297
PNS,3,Pensacola Regional Airport,Pensacola,United States,30.473400115967,-87.186599731445
HOU,3,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015
PIT,3,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253
BRW,18,Wiley Post Will Rogers Memorial Airport,Barrow,United States,71.285402,-156.766008
MIA,3,Miami International Airport,Miami,United States,25.79319953918457,-80.29060363769531
SEA,3,Seattle Tacoma International Airport,Seattle,United States,47.449001,-122.308998
CHA,3,Lovell Field,Chattanooga,United States,35.035301208496094,-85.20379638671875
JAN,3,Jackson-Medgar Wiley Evers International Airport,Jackson,United States,32.3111991882,-90.0758972168
LGB,3,Long Beach /Daugherty Field/ Airport,Long Beach,United States,33.81769943,-118.1520004
IPT,3,Williamsport Regional Airport,Williamsport,United States,41.241798400878906,-76.92109680175781
IND,3,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403
HPN,3,Westchester County Airport,White Plains,United States,41.06700134277344,-73.70760345458984
JBR,3,Jonesboro Municipal Airport,Jonesboro,United States,35.83169937133789,-90.64640045166016
YUM,3,Yuma MCAS/Yuma International Airport,Yuma,United States,32.65660095,-114.6060028
CNM,3,Cavern City Air Terminal,Carlsbad,United States,32.337501525878906,-104.26300048828124
DLH,3,Duluth International Airport,Duluth,United States,46.8420982361,-92.1936035156
BET,18,Bethel Airport,Bethel,United States,60.77980042,-161.8379974
LIH,3,Lihue Airport,Lihue,United States,21.97599983215332,-159.33900451660156
HVR,3,Havre City County Airport,Havre,United States,48.54299927,-109.762001
RIC,3,Richmond International Airport,Richmond,United States,37.50519943237305,-77.3197021484375
SHV,3,Shreveport Regional Airport,Shreveport,United States,32.446602,-93.8256
CDV,18,Merle K (Mudhole) Smith Airport,Cordova,United States,60.4917984,-145.4779968
ORF,3,Norfolk International Airport,Norfolk,United States,36.89459991455078,-76.20120239257812
BPT,3,Southeast Texas Regional Airport,Beaumont,United States,29.9507999420166,-94.02069854736328
SAV,3,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266
OME,18,Nome Airport,Nome,United States,64.51219940185547,-165.44500732421875
PIE,3,St Petersburg Clearwater International Airport,St. Petersburg,United States,27.91020012,-82.68740082
SCC,18,Deadhorse Airport,Deadhorse,United States,70.19470215,-148.4649963
SAT,3,San Antonio International Airport,San Antonio,United States,29.533700942993164,-98.46980285644533
ROC,3,Greater Rochester International Airport,Rochester,United States,43.118900299072266,-77.67240142822266
TEB,3,Teterboro Airport,Teterboro,United States,40.85010147089999,-74.060798645
RDU,3,Raleigh Durham International Airport,Raleigh-durham,United States,35.87760162353516,-78.7874984741211
DAY,3,James M Cox Dayton International Airport,Dayton,United States,39.90240097045898,-84.21939849853516
ENA,18,Kenai Municipal Airport,Kenai,United States,60.57310104370117,-151.2449951171875
IAG,3,Niagara Falls International Airport,Niagara Falls,United States,43.1072998046875,-78.94619750976562
PHF,3,Newport News Williamsburg International Airport,Newport News,United States,37.13190079,-76.49299622
TUS,3,Tucson International Airport,Tucson,United States,32.1161003112793,-110.94100189208984
PVD,3,Theodore Francis Green State Airport,Providence,United States,41.732601,-71.420403
SBY,3,Salisbury Ocean City Wicomico Regional Airport,Salisbury,United States,38.34049987792969,-75.51029968261719
BUR,3,Bob Hope Airport,Burbank,United States,34.20069885253906,-118.35900115966795
DTW,3,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529052734,-83.35340118408203
TPA,3,Tampa International Airport,Tampa,United States,27.975500106811523,-82.533203125
HIB,3,Range Regional Airport,Hibbing,United States,47.38660049,-92.83899689
MAF,3,Midland International Airport,Midland,United States,31.9424991607666,-102.2020034790039
GRB,3,Austin Straubel International Airport,Green Bay,United States,44.48509979248047,-88.12960052490234
AGS,3,Augusta Regional At Bush Field,Bush Field,United States,33.36989974975586,-81.9645004272461
ISN,3,Sloulin Field International Airport,Williston,United States,48.177898407,-103.641998291
LIT,3,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,34.729400634799994,-92.2242965698
SWF,3,Stewart International Airport,Newburgh,United States,41.50410079956055,-74.10479736328125
HOM,18,Homer Airport,Homer,United States,59.645599365234375,-151.4770050048828
TBN,3,Waynesville-St. Robert Regional Forney field,Fort Leonardwood,United States,37.74160004,-92.14070129
DFW,3,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002
MLB,3,Melbourne International Airport,Melbourne,United States,28.10280036926269,-80.64530181884766
AUS,3,Austin Bergstrom International Airport,Austin,United States,30.194499969482425,-97.6698989868164
LCK,3,Rickenbacker International Airport,Columbus,United States,39.813801,-82.927803
MQT,3,Sawyer International Airport,Gwinn,United States,46.3535995483,-87.395401001
TYS,3,McGhee Tyson Airport,Knoxville,United States,35.81100082,-83.9940033
STL,3,St Louis Lambert International Airport,St. Louis,United States,38.748697,-90.370003
SPS,3,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,United States,33.9888,-98.491898
LUK,3,Cincinnati Municipal Airport Lunken Field,Cincinnati,United States,39.10329819,-84.41860199
ATL,3,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101
GRR,3,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663
FAT,3,Fresno Yosemite International Airport,Fresno,United States,36.77619934082031,-119.71800231933594
IPL,3,Imperial County Airport,Imperial,United States,32.834201812699995,-115.57900238
BNA,3,Nashville International Airport,Nashville,United States,36.1245002746582,-86.6781997680664
LRD,3,Laredo International Airport,Laredo,United States,27.543800354003903,-99.46160125732422
OTZ,18,Ralph Wien Memorial Airport,Kotzebue,United States,66.88469696,-162.598999
AOO,3,Altoona Blair County Airport,Altoona,United States,40.29639816,-78.31999969
ELD,3,South Arkansas Regional At Goodwin Field,El Dorado,United States,33.22100067138672,-92.81330108642578
LGA,3,La Guardia Airport,New York,United States,40.77719879,-73.87259674
TLH,3,Tallahassee Regional Airport,Tallahassee,United States,30.396499633789062,-84.35030364990234
ACT,3,Waco Regional Airport,Waco,United States,31.611299514770508,-97.23049926757812
AUG,3,Augusta State Airport,Augusta,United States,44.3205986023,-69.7973022461
MKL,3,McKellar-Sipes Regional Airport,Jackson,United States,35.599899,-88.915604
MKK,3,Molokai Airport,Molokai,United States,21.15290069580078,-157.0959930419922
SJT,3,San Angelo Regional Mathis Field,San Angelo,United States,31.35770034790039,-100.49600219726562
CIC,3,Chico Municipal Airport,Chico,United States,39.79539871,-121.8580017
BTV,3,Burlington International Airport,Burlington,United States,44.4719009399,-73.15329742429999
JAX,3,Jacksonville International Airport,Jacksonville,United States,30.49410057067871,-81.68789672851562
DRO,3,Durango La Plata County Airport,Durango,United States,37.1515007019,-107.753997803
IAD,3,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292
CLL,3,Easterwood Field,College Station,United States,30.58860016,-96.36380005
MKE,3,General Mitchell International Airport,Milwaukee,United States,42.94720077514648,-87.89659881591797
ABI,3,Abilene Regional Airport,Abilene,United States,32.4113006592,-99.6819000244
COU,3,Columbia Regional Airport,Columbia,United States,38.81809997558594,-92.21959686279295
PDX,3,Portland International Airport,Portland,United States,45.58869934,-122.5979996
PBI,3,Palm Beach International Airport,West Palm Beach,United States,26.68320083618164,-80.09559631347656
OGS,3,Ogdensburg International Airport,Ogdensburg,United States,44.6819000244,-75.46549987790002
BFI,19,Boeing Field King County International Airport,Seattle,United States,47.52999877929688,-122.302001953125
HNL,3,Daniel K Inouye International Airport,Honolulu,United States,21.32062,-157.924228
DSM,3,Des Moines International Airport,Des Moines,United States,41.53400039672852,-93.66310119628906
EWN,3,Coastal Carolina Regional Airport,New Bern,United States,35.0730018616,-77.04290008539999
SAN,3,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441
MLU,3,Monroe Regional Airport,Monroe,United States,32.51089859008789,-92.0376968383789
ONT,3,Ontario International Airport,Ontario,United States,34.055999755859375,-117.60099792480467
ROW,3,Roswell International Air Center Airport,Roswell,United States,33.30160140991211,-104.53099822998048
BRO,3,Brownsville South Padre Island International Airport,Brownsville,United States,25.90679931640625,-97.4259033203125
DHN,3,Dothan Regional Airport,Dothan,United States,31.3213005065918,-85.44960021972656
FMN,3,Four Corners Regional Airport,Farmington,United States,36.7411994934,-108.230003357
CRP,3,Corpus Christi International Airport,Corpus Christi,United States,27.77039909362793,-97.5011978149414
SYR,3,Syracuse Hancock International Airport,Syracuse,United States,43.11119842529297,-76.1063003540039
MDW,3,Chicago Midway International Airport,Chicago,United States,41.785999,-87.752403
SJC,3,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.362598,-121.929001
HOB,3,Lea County Regional Airport,Hobbs,United States,32.6875,-103.2170029
DEN,3,Denver International Airport,Denver,United States,39.861698150635,-104.672996521
PHL,3,Philadelphia International Airport,Philadelphia,United States,39.87189865112305,-75.24109649658203
SUX,3,Sioux Gateway Col. Bud Day Field,Sioux City,United States,42.40259933,-96.38439941
MCN,3,Middle Georgia Regional Airport,Macon,United States,32.69279861450195,-83.64920043945312
CMH,3,John Glenn Columbus International Airport,Columbus,United States,39.998001,-82.891899
GAL,18,Edward G. Pitka Sr Airport,Galena,United States,64.73619843,-156.9369965
TXK,3,Texarkana Regional Webb Field,Texarkana,United States,33.45370101928711,-93.99099731445312
PBG,3,Plattsburgh International Airport,Plattsburgh,United States,44.6509017944336,-73.46810150146484
ANC,18,Ted Stevens Anchorage International Airport,Anchorage,United States,61.17440032958984,-149.99600219726562
GRK,3,Robert Gray  Army Air Field Airport,Killeen,United States,31.067199707,-97.8289031982
BLI,3,Bellingham International Airport,Bellingham,United States,48.79280090332031,-122.53800201416016
MOB,3,Mobile Regional Airport,Mobile,United States,30.691200256348,-88.242797851562
SAF,3,Santa Fe Municipal Airport,Santa Fe,United States,35.617099762,-106.088996887
BLV,3,Scott AFB/Midamerica Airport,Belleville,United States,38.5452,-89.835197
RSW,3,Southwest Florida International Airport,Fort Myers,United States,26.53619956970215,-81.75520324707031
AKN,18,King Salmon Airport,King Salmon,United States,58.67679977,-156.6490021
JHM,3,Kapalua Airport,Lahania-kapalua,United States,20.962900161743164,-156.67300415039062
JFK,3,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015
CYS,3,Cheyenne Regional Jerry Olson Field,Cheyenne,United States,41.15570068,-104.8119965
SCK,3,Stockton Metropolitan Airport,Stockton,United States,37.894199371338,-121.2379989624
CHS,3,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683
RNO,3,Reno Tahoe International Airport,Reno,United States,39.49909973144531,-119.76799774169922
KTN,18,Ketchikan International Airport,Ketchikan,United States,55.35559845,-131.7140045
BHM,3,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189
MOD,3,Modesto City Co-Harry Sham Field,Modesto,United States,37.62580109,-120.9540024
SMF,3,Sacramento International Airport,Sacramento,United States,38.69540023803711,-121.59100341796876
COS,3,City of Colorado Springs Municipal Airport,Colorado Springs,United States,38.805801,-104.700996
BUF,3,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062
CDC,3,Cedar City Regional Airport,Cedar City,United States,37.70100021362305,-113.0989990234375
BDL,3,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.68319702149999
MFE,3,Mc Allen Miller International Airport,Mcallen,United States,26.17580032,-98.23860168
LBB,3,Lubbock Preston Smith International Airport,Lubbock,United States,33.663601,-101.822998
ORD,3,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048
FAI,18,Fairbanks International Airport,Fairbanks,United States,64.81510162,-147.8560028
ART,3,Watertown International Airport,Watertown,United States,43.99190139770508,-76.02169799804688
PSP,3,Palm Springs International Airport,Palm Springs,United States,33.8297004699707,-116.50700378417967
AMA,3,Rick Husband Amarillo International Airport,Amarillo,United States,35.219398,-101.706001
FOE,3,Topeka Regional Airport - Forbes Field,Topeka,United States,38.9509010315,-95.6635971069
ILM,3,Wilmington International Airport,Wilmington,United States,34.270599365234375,-77.90260314941406
BTR,3,Baton Rouge Metropolitan Airport,Baton Rouge,United States,30.533199,-91.149597
TYR,3,Tyler Pounds Regional Airport,Tyler,United States,32.35409927368164,-95.40239715576172
BWI,3,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.1754,-76.668297
LNY,3,Lanai Airport,Lanai,United States,20.785600662231445,-156.9510040283203
AEX,3,Alexandria International Airport,Alexandria,United States,31.32740020751953,-92.54979705810548
CDB,18,Cold Bay Airport,Cold Bay,United States,55.20610046386719,-162.72500610351562
TUL,3,Tulsa International Airport,Tulsa,United States,36.19839859008789,-95.88809967041016
SIT,18,Sitka Rocky Gutierrez Airport,Sitka,United States,57.04710006713867,-135.36199951171875
ISP,3,Long Island Mac Arthur Airport,Islip,United States,40.79520035,-73.10019684
MSP,3,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802
ILG,3,New Castle Airport,Wilmington,United States,39.67869949,-75.60649872
DUT,20,Unalaska Airport,Unalaska,United States,53.900100708,-166.544006348
MSY,3,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.99340057373047,-90.25800323486328
PWM,3,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328
OKC,3,Will Rogers World Airport,Oklahoma City,United States,35.39310073852539,-97.60070037841795
ALB,3,Albany International Airport,Albany,United States,42.74829864501953,-73.80169677734375
VDZ,18,Valdez Pioneer Field,Valdez,United States,61.13389969,-146.2480011
SNA,3,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962
CPR,3,Casper-Natrona County International Airport,Casper,United States,42.908001,-106.463997
VPS,3,Destin-Ft Walton Beach Airport,Valparaiso,United States,30.4832,-86.525398
EYW,3,Key West International Airport,Key West,United States,24.55610084533692,-81.75959777832031
CLT,3,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019043,-80.94309997558594
LAS,3,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004
MCO,3,Orlando International Airport,Orlando,United States,28.429399490356445,-81.30899810791016
FLO,3,Florence Regional Airport,Florence,United States,34.18539810180664,-79.7238998413086
GTF,3,Great Falls International Airport,Great Falls,United States,47.48199844,-111.3710022
YNG,3,Youngstown Warren Regional Airport,Youngstown,United States,41.26070023,-80.67910004
BKK,17,Suvarnabhumi Airport,Bangkok,Thailand,13.681099891662598,100.74700164794922
NAH,0,Naha Airport,Naha,Indonesia,3.683209896087648,125.52799987792967
KDI,0,Wolter Monginsidi Airport,Kendari,Indonesia,-4.081610202789307,122.41799926757812
MLG,0,Abdul Rachman Saleh Airport,Malang,Indonesia,-7.926559925079999,112.714996338
BDO,0,Husein Sastranegara International Airport,Bandung,Indonesia,-6.900629997253418,107.57599639892578
JOG,0,Adi Sutjipto International Airport,Yogyakarta,Indonesia,-7.788179874420166,110.43199920654295
SRG,0,Achmad Yani Airport,Semarang,Indonesia,-6.97273,110.375
BTH,0,Hang Nadim International Airport,Batam,Indonesia,1.12102997303,104.119003296
TJQ,0,Buluh Tumbang (H A S Hanandjoeddin) Airport,Tanjung Pandan,Indonesia,-2.74571990967,107.754997253
PGK,0,Pangkal Pinang (Depati Amir) Airport,Pangkal Pinang,Indonesia,-2.16219997406,106.138999939
TNJ,0,Raja Haji Fisabilillah International Airport,Tanjung Pinang,Indonesia,0.922683000565,104.531997681
BDJ,0,Syamsudin Noor Airport,Banjarmasin,Indonesia,-3.4423599243164062,114.76300048828124
PKN,0,Iskandar Airport,Pangkalan Bun,Indonesia,-2.70519995689,111.672996521
PKY,0,Tjilik Riwut Airport,Palangkaraya,Indonesia,-2.22513008118,113.943000793
MOF,0,Maumere(Wai Oti) Airport,Maumere,Indonesia,-8.64064979553,122.236999512
ENE,0,Ende (H Hasan Aroeboesman) Airport,Ende,Indonesia,-8.8492898941,121.661003113
KOE,0,El Tari Airport,Kupang,Indonesia,-10.171600341796877,123.6709976196289
LBJ,0,Komodo Airport,Labuhan Bajo,Indonesia,-8.48666,119.889
BPN,0,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,-1.26827001572,116.893997192
TRK,0,Juwata Airport,Taraken,Indonesia,3.326667,117.569444
